what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574472833713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473412092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473428219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473441700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473446168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473456528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473469679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473489247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473494178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473552216
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574473554334
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1574473572867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473573880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473574058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473587677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473842764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473845389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574473995888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474000584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474022890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474032143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474063120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474064479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474090627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474234265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474253831
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1574474272017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474310606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474313600
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574474313759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474323340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474324770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474328326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474348538
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1574474351437
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574474355984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474392872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474426755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474433065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474433742
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1574474434804
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1574474473541
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574474476596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1574474478986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474484741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474536641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1574474543141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474543802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474559387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474559929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474565963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1574474600367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1574474604391
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1574474642477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474643742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474643918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1574474651222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1574474653852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1574474665502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1574474667928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1574474681341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474684399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474785454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474791194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474798039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474815124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574474938938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574475008595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574475153226
