what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1577965807661
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577965812310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577965813343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577965816815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577965818735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577965839570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577965845521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577965853911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577965856873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577965861743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577965865753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577965882624
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577965886092
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577965887715
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577965898526
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577965901128
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577965913002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577965914888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577965915071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1577965920219
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577965931678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577965940545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966058158
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577966058927
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966061598
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966062443
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966071784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966079068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966104091
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966105871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1577966114639
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966115785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1577966119819
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966129057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1577966132860
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966133698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1577966136802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966150290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966162035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1577966182863
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966188855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966191849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966194893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966200515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966205071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966206581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966209167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966218118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966219526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966224887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966225656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966230564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966234339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966239653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966241151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966244574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966245978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966250982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966252806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966256658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966262379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1577966266591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1577966268235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966277222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966278112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966296470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966298418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1577966299721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966302921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966317750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966419009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966427605
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966427699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966431236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966455479
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1577966488068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966500127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966530358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1577966530376
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966532327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966548135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966556343
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966623013
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966626649
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966634269
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966638704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1577966660227
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966661234
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966665915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1577966677071
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577966684026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966686360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966686537
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966697390
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966703431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1577966704341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966710471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966733610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966746010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577966775236
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966776669
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577966786121
