what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.datatools.enablement.sybase.models,1.0.0.v201010140307,"org.eclipse.datatools.enablement.sybase.models",1578053389408
started,bundle,org.eclipse.datatools.sqltools.editor.core.ui,1.0.0.v201001150815,"org.eclipse.datatools.sqltools.editor.core.ui",1578053389409
started,bundle,org.eclipse.datatools.sqltools.db.generic.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic.ui",1578053389582
started,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1578053389583
started,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.debugger.core",1578053390090
started,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1578053390092
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1578053390556
started,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v201107221520,"org.eclipse.datatools.sqltools.common.ui",1578053390715
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1578053390874
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1578053390955
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1578053397937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578053409736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578053430623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578053445425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578053486090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578053488079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578053631446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578053645960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054113785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054116334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054147848
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578054150248
closed,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1578054150248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054159049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054162770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054165642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054232996
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578054241469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054245697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054249684
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578054249960
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578054250010
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578054253685
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578054253685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054257164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054432542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054434631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054445064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1578054447217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054449889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054507781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054510080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054631015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054644428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054735697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578054760022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054763911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054767301
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578054767479
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578054767532
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578054772270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578054786207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054789872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054793737
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578054793806
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578054800852
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578054800852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578054807150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054810943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054814129
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578054814284
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578054814334
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578054817661
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578054817661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578054823466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054826549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054831364
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578054831523
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578054831586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578054832715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055073267
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578055076867
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578055076867
executed,command,,,"AUTOGEN:::org.eclipse.jst.jsp.core.jspsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1578055099260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055105156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055128792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578055132441
executed,command,,,"AUTOGEN:::org.eclipse.jst.jsp.core.jspsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1578055136493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055145610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055302011
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1578055305105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055313429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055316092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578055316200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055317530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055405360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055409073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055414138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055426011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055502729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578055572506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578078740441
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1578078741171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578078743460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578078761140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578078761351
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1578079207824
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1578079208736
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578079209023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079209883
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1578079210534
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578079210761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079222802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079272400
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578079274728
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578079274728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079275886
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578079280458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079280576
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578079280601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079280646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079280858
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578079305845
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578079305846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079306973
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578079309574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079309724
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578079309748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079309799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079309893
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578079322523
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578079322523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079323404
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578079325450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079325590
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578079325613
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578079347699
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578079347699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079348431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079463173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079465670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079478153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578079484268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079491230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079514957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079517215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079521240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079522180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079524570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1578079527035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079529293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079537413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578079545649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079546847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079622451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578079678578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079683711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079690183
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578079690362
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578079690422
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578079697817
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578079697817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079702947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079767032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578079784064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079787253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079791313
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578079791440
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578079791481
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578079795774
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578079795774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578079815041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079817984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079821438
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578079821730
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578079821775
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578079823953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578079829802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079833220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079837187
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578079837276
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578079840325
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578079840325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578079895577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079899331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578079903105
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578079903280
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578079903340
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578079909180
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578079909180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578079990769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578080061119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578080083329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578080107988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578080110629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578080114116
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578080114291
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578080114355
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578080117813
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578080117813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578080118568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578080179579
error,log,,,"Invalid Hierarchy Request",1578080193957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578080199877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578080202980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578080207763
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578080207956
