what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574536429736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574536431034
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1574536432999
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574536435175
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574536436978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1574536441638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574536447927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574536680693
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574536691820
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574536702608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574536707633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574536727049
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1574536730209
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574536731443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574536746841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574536754014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574536774964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574536776443
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574536776515
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574536786614
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1574536796686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574536799683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574536799928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1574536802989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574537034941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574537624848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574537633545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574537687444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574537688579
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574537692336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574537692513
