what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577481740068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1577481743012
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1577481814640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481816265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481816491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481845302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481880407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1577481895691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481904001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481911469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481921545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481923416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481929437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481939847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481941073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481942780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481951590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481953102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481967923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577481972188
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1577481993538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577482123816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577482128615
