what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1577970396565
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577970396565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577970401434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577970405926
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577970406069
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577970406134
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1577970408975
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577970408975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577970410854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577970418697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1577970437133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577970441145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577970444765
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577970444984
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577970445050
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1577970448347
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577970448347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577970449752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577970463768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577970465634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577970552743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577970559476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577970562620
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577970562874
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577970562928
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1577970564355
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577970564355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577970772062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577977685480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577977687814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577977781008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577977790153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577977795025
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577977795360
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577977795415
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1577977797539
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577977797539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1577977815701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577977820707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577977832397
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577977832594
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577977832645
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1577977835092
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577977835092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577977862036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577978010372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1577978012477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1577978014813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577978019129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1577978022509
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577978022642
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1577978022690
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1577978028634
