what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574263404642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574263414367
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263421079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574263421354
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263421374
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263430173
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263430173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574263432111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574263447443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574263448476
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263451642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574263451828
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263451849
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263462236
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263462236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574263462891
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263465291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574263465411
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263465556
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263627448
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263627453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574263632529
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263635474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574263635947
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263635978
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263657384
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574263657384
