what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574434265382
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574434268530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1574434281258
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574434282417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1574434288849
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1574434291651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574434292831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574434293040
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574434300579
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574434316601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1574434317919
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574434328041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574434347108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574434351498
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1574434354522
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574434354722
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574434354828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574434368639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574434372001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574434372943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574434373568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1574434391805
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1574434419304
