what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433384156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433385849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433388658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433394110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433396581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1578433398660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578433409640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433412405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433415661
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578433415811
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578433415860
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578433420507
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578433420507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433422158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433432158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433506060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433526981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578433552064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433555093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433557132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578433589789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433594962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433598006
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578433598161
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578433598204
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578433612946
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578433612946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578433653957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433657487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433660952
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578433661085
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578433661129
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578433672724
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578433672724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578433706796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433709319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433711895
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578433712021
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578433712067
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578433741487
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578433741487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433754465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433965708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578433968930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434035031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434042330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434076727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434078254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434099326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434103213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434104872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434148212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434151083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434154176
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434154323
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434154368
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578434179002
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434179002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434183886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434187052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434214380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434218150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434221439
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434221583
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434221627
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578434228997
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434228997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434238866
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1578434239313
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.2.v201111190813,"org.eclipse.datatools.connectivity.ui",1578434239763
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.ui.dse",1578434239765
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.1.v20110926045,"org.eclipse.datatools.connectivity.sqm.core.ui",1578434240482
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1578434240730
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1578434240797
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578434241974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434245148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434248729
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434248892
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434248940
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578434256072
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434256072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434349261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434361208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434366456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434369505
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434369698
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434369741
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578434382470
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434382470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434408535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434411394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434413847
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434413985
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434414040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434420650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434422150
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578434425558
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434425558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434440501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434443616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434447557
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434447762
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434447839
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578434456000
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434456000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434486408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434513922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434524781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434527258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434529611
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434529773
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434529821
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578434542618
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434542618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434564933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434567303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434570458
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434570597
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434570643
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578434574047
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434574047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434707527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434714844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434720380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434723793
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434724008
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434724056
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578434728379
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434728379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434759669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434771293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434796361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434854384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434859078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434860965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434862423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1578434880513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578434900313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434905407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434908113
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434908269
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434908318
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578434926719
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578434926720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434951924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434954630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434959486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434961375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434963552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434965386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578434966660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578435008658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578435022374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578435025273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578435029611
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578435029825
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578435029884
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578435037506
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578435037506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578435050047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578435052978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578435056384
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578435056505
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578435056554
